trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
29965,06:15:00,06:15:00,292,0,,0,0,0.000,1
29965,06:25:00,06:25:00,498,1,,0,0,7.172,1
29965,06:43:00,06:43:00,658,2,,0,0,18.776,0
29965,06:45:00,06:45:00,660,3,,0,0,20.009,1
29965,06:46:00,06:46:00,110,4,,0,0,20.766,0
29965,06:57:00,06:57:00,264,5,,0,0,29.116,0
29965,07:08:00,07:08:00,829,6,,0,0,37.468,0
29965,07:09:00,07:09:00,96,7,,0,0,38.047,0
29965,07:10:00,07:10:00,734,8,,0,0,39.033,0
29965,07:11:00,07:11:00,736,9,,0,0,39.608,0
29965,07:12:00,07:12:00,127,10,,0,0,40.636,0
29965,07:13:00,07:13:00,619,11,,0,0,41.238,0
29965,07:14:00,07:14:00,620,12,,0,0,41.881,0
29965,07:15:00,07:15:00,312,13,,0,0,42.291,1
29965,07:17:00,07:17:00,293,14,,0,0,42.975,1
29965,07:18:00,07:18:00,294,15,,0,0,43.469,0
29965,07:20:00,07:20:00,735,16,,0,0,44.670,0
29965,07:21:00,07:21:00,102,17,,0,0,45.258,0
29965,07:22:00,07:22:00,733,18,,0,0,45.715,0
29965,07:23:00,07:23:00,84,19,,0,0,46.258,0
29965,07:25:00,07:25:00,708,20,,0,0,46.917,1
29965,07:36:00,07:36:00,634,21,,0,0,53.062,1
29965,07:45:00,07:45:00,292,22,,0,0,57.925,1
30011,07:45:00,07:45:00,292,0,,0,0,0.000,1
30011,07:55:00,07:55:00,498,1,,0,0,7.172,1
30011,08:13:00,08:13:00,658,2,,0,0,18.776,0
30011,08:15:00,08:15:00,660,3,,0,0,20.009,1
30011,08:16:00,08:16:00,110,4,,0,0,20.766,0
30011,08:27:00,08:27:00,264,5,,0,0,29.116,0
30011,08:38:00,08:38:00,829,6,,0,0,37.468,0
30011,08:39:00,08:39:00,96,7,,0,0,38.047,0
30011,08:40:00,08:40:00,734,8,,0,0,39.033,0
30011,08:41:00,08:41:00,736,9,,0,0,39.608,0
30011,08:42:00,08:42:00,127,10,,0,0,40.636,0
30011,08:43:00,08:43:00,619,11,,0,0,41.238,0
30011,08:44:00,08:44:00,620,12,,0,0,41.881,0
30011,08:45:00,08:45:00,312,13,,0,0,42.291,1
30011,08:47:00,08:47:00,293,14,,0,0,42.975,1
30011,08:48:00,08:48:00,294,15,,0,0,43.469,0
30011,08:50:00,08:50:00,735,16,,0,0,44.670,0
30011,08:51:00,08:51:00,102,17,,0,0,45.258,0
30011,08:52:00,08:52:00,733,18,,0,0,45.715,0
30011,08:53:00,08:53:00,84,19,,0,0,46.258,0
30011,08:55:00,08:55:00,708,20,,0,0,46.917,1
30011,09:06:00,09:06:00,634,21,,0,0,53.062,1
30011,09:15:00,09:15:00,292,22,,0,0,57.925,1
30057,15:15:00,15:15:00,292,0,,0,0,0.000,1
30057,15:25:00,15:25:00,498,1,,0,0,7.172,1
30057,15:43:00,15:43:00,658,2,,0,0,18.776,0
30057,15:45:00,15:45:00,660,3,,0,0,20.009,1
30057,15:46:00,15:46:00,110,4,,0,0,20.766,0
30057,15:57:00,15:57:00,264,5,,0,0,29.116,0
30057,16:08:00,16:08:00,829,6,,0,0,37.468,0
30057,16:09:00,16:09:00,96,7,,0,0,38.047,0
30057,16:10:00,16:10:00,734,8,,0,0,39.033,0
30057,16:11:00,16:11:00,736,9,,0,0,39.608,0
30057,16:12:00,16:12:00,127,10,,0,0,40.636,0
30057,16:13:00,16:13:00,619,11,,0,0,41.238,0
30057,16:14:00,16:14:00,620,12,,0,0,41.881,0
30057,16:15:00,16:15:00,312,13,,0,0,42.291,1
30057,16:17:00,16:17:00,293,14,,0,0,42.975,1
30057,16:18:00,16:18:00,294,15,,0,0,43.469,0
30057,16:20:00,16:20:00,735,16,,0,0,44.670,0
30057,16:21:00,16:21:00,102,17,,0,0,45.258,0
30057,16:22:00,16:22:00,733,18,,0,0,45.715,0
30057,16:23:00,16:23:00,84,19,,0,0,46.258,0
30057,16:25:00,16:25:00,708,20,,0,0,46.917,1
30057,16:36:00,16:36:00,634,21,,0,0,53.062,1
30057,16:45:00,16:45:00,292,22,,0,0,57.925,1
30103,16:45:00,16:45:00,292,0,,0,0,0.000,1
30103,16:55:00,16:55:00,498,1,,0,0,7.172,1
30103,17:13:00,17:13:00,658,2,,0,0,18.776,0
30103,17:15:00,17:15:00,660,3,,0,0,20.009,1
30103,17:16:00,17:16:00,110,4,,0,0,20.766,0
30103,17:27:00,17:27:00,264,5,,0,0,29.116,0
30103,17:38:00,17:38:00,829,6,,0,0,37.468,0
30103,17:39:00,17:39:00,96,7,,0,0,38.047,0
30103,17:40:00,17:40:00,734,8,,0,0,39.033,0
30103,17:41:00,17:41:00,736,9,,0,0,39.608,0
30103,17:42:00,17:42:00,127,10,,0,0,40.636,0
30103,17:43:00,17:43:00,619,11,,0,0,41.238,0
30103,17:44:00,17:44:00,620,12,,0,0,41.881,0
30103,17:45:00,17:45:00,312,13,,0,0,42.291,1
30103,17:47:00,17:47:00,293,14,,0,0,42.975,1
30103,17:48:00,17:48:00,294,15,,0,0,43.469,0
30103,17:50:00,17:50:00,735,16,,0,0,44.670,0
30103,17:51:00,17:51:00,102,17,,0,0,45.258,0
30103,17:52:00,17:52:00,733,18,,0,0,45.715,0
30103,17:53:00,17:53:00,84,19,,0,0,46.258,0
30103,17:55:00,17:55:00,708,20,,0,0,46.917,1
30103,18:06:00,18:06:00,634,21,,0,0,53.062,1
30103,18:15:00,18:15:00,292,22,,0,0,57.925,1
30252,06:15:00,06:15:00,292,0,,0,0,0.000,1
30252,06:15:00,06:15:00,634,1,,0,0,4.648,1
30252,06:32:00,06:32:00,829,2,,0,0,11.286,0
30252,06:33:00,06:33:00,96,3,,0,0,11.865,0
30252,06:36:00,06:36:00,734,4,,0,0,12.851,0
30252,06:37:00,06:37:00,736,5,,0,0,13.426,0
30252,06:40:00,06:40:00,127,6,,0,0,14.454,0
30252,06:42:00,06:42:00,619,7,,0,0,15.056,0
30252,06:43:00,06:43:00,620,8,,0,0,15.699,0
30252,06:45:00,06:45:00,312,9,,0,0,16.109,1
30252,06:47:00,06:47:00,293,10,,0,0,16.793,1
30252,06:47:00,06:47:00,294,11,,0,0,17.287,0
30252,06:49:00,06:49:00,735,12,,0,0,18.488,0
30252,06:50:00,06:50:00,102,13,,0,0,19.076,0
30252,06:51:00,06:51:00,733,14,,0,0,19.533,0
30252,06:51:00,06:51:00,84,15,,0,0,20.076,0
30252,06:52:00,06:52:00,708,16,,0,0,20.735,0
30252,07:05:00,07:05:00,115,17,,0,0,28.915,1
30252,07:13:00,07:13:00,658,18,,0,0,36.883,0
30252,07:15:00,07:15:00,660,19,,0,0,38.107,1
30252,07:15:00,07:15:00,110,20,,0,0,38.864,0
30252,07:30:00,07:30:00,154,21,,0,0,50.771,1
30252,07:45:00,07:45:00,292,22,,0,0,57.644,1
30298,07:45:00,07:45:00,292,0,,0,0,0.000,1
30298,07:45:00,07:45:00,634,1,,0,0,4.648,1
30298,08:02:00,08:02:00,829,2,,0,0,11.286,0
30298,08:03:00,08:03:00,96,3,,0,0,11.865,0
30298,08:06:00,08:06:00,734,4,,0,0,12.851,0
30298,08:07:00,08:07:00,736,5,,0,0,13.426,0
30298,08:10:00,08:10:00,127,6,,0,0,14.454,0
30298,08:12:00,08:12:00,619,7,,0,0,15.056,0
30298,08:13:00,08:13:00,620,8,,0,0,15.699,0
30298,08:15:00,08:15:00,312,9,,0,0,16.109,1
30298,08:17:00,08:17:00,293,10,,0,0,16.793,1
30298,08:17:00,08:17:00,294,11,,0,0,17.287,0
30298,08:19:00,08:19:00,735,12,,0,0,18.488,0
30298,08:20:00,08:20:00,102,13,,0,0,19.076,0
30298,08:21:00,08:21:00,733,14,,0,0,19.533,0
30298,08:21:00,08:21:00,84,15,,0,0,20.076,0
30298,08:22:00,08:22:00,708,16,,0,0,20.735,0
30298,08:35:00,08:35:00,115,17,,0,0,28.915,1
30298,08:43:00,08:43:00,658,18,,0,0,36.883,0
30298,08:45:00,08:45:00,660,19,,0,0,38.107,1
30298,08:45:00,08:45:00,110,20,,0,0,38.864,0
30298,09:00:00,09:00:00,154,21,,0,0,50.771,1
30298,09:15:00,09:15:00,292,22,,0,0,57.644,1
30344,15:15:00,15:15:00,292,0,,0,0,0.000,1
30344,15:15:00,15:15:00,634,1,,0,0,4.648,1
