stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
83,01,"Darwin Interchange",,-12.464786,130.844340,,,,
84,106,"Stuart Hwy after Parap Rd",,-12.435451,130.844143,,,,
85,108,"Ludmilla Primary School",,-12.424676,130.856061,,,,
86,757,"Bagot Rd after Totem Rd",,-12.401322,130.855985,,,,
87,015,"Omeo Street",,-12.367045,130.871348,,,,
88,096,"Trower Rd opp Rapid Creek Shops",,-12.385866,130.862775,,,,
89,900,"Casuarina Terminus",,-12.373406,130.880516,,,,
90,049,"Trower Rd before Carstens Cres",,-12.380400,130.880643,,,,
91,150,"Trower Rd at Water Gardens",,-12.384849,130.867071,,,,
92,166,"Trower Rd at Rapid Creek Shops",,-12.386320,130.862187,,,,
93,169,"Trower Rd after Mcmillans Rd",,-12.400990,130.856230,,,,
94,172,"Ludmilla School",,-12.424018,130.856320,,,,
95,842,"Limmen Street",,-12.382175,130.884943,,,,
96,174,"Stuart Hwy opp Parap Rd",,-12.436843,130.843172,,,,
97,012,"Diabeties Australia - Tiwi Shops",,-12.362236,130.876908,,,,
98,401,"Erldunda Street",,-12.364972,130.876046,,,,
99,017,"Nakara Shops",,-12.369518,130.875638,,,,
100,155,"Sabine Road Shops",,-12.393490,130.861333,,,,
101,067,"Casuarina Senior College",,-12.382979,130.880928,,,,
102,104,"Stuart Hwy at St Johns College",,-12.443017,130.841160,,,,
104,163,"Alawa Shops",,-12.378190,130.875168,,,,
105,205,"Northlakes Shopping Centre",,-12.396312,130.896286,,,,
106,905,"Marrara Christian School",,-12.407183,130.916010,,,,
107,280,"Police Centre Vanderlin Dr",,-12.412783,130.923402,,,,
109,288,"Stuart Hwy at Show Ground",,-12.426294,130.897525,,,,
110,385,"Roystonea Ave before Packard Ave",,-12.474103,130.983485,,,,
111,298,"Stuart Hwy at Winnellie Post Office",,-12.426593,130.864485,,,,
112,120,"Hibiscus Shops",,-12.378626,130.896195,,,,
113,398,"Calytrix Rd before Vanderlin Dr",,-12.392820,130.913599,,,,
114,392,"21 Moray St.",,-12.405692,130.920248,,,,
115,195,"Stuart Hwy Before Vanderlin Dr",,-12.432882,130.922196,,,,
116,336,"Stuart Hwy after Deviney Rd",,-12.459011,130.970981,,,,
117,903,"Palmerston Interchange",,-12.479083,130.987475,,,,
118,386,"Stuart Hwy after Deviney Rd",,-12.458457,130.969577,,,,
119,196,"Vanderlin Dr After Stuart Hwy",,-12.430857,130.923287,,,,
120,199,"Vanderlin Dr after Boulter Rd",,-12.413506,130.923170,,,,
121,414,"Leanyer Dr before Killuppa Cres",,-12.380821,130.903229,,,,
122,368,"Calytrix Rd before Livistona Rd",,-12.393784,130.913114,,,,
123,023,"Angelo St",,-12.373490,130.885145,,,,
124,142,"Vanderlin Dr Service Rd opp Hibiscus Shopping Centre",,-12.378537,130.895025,,,,
126,112,"Bagot Rd before Old Mcmillans Rd",,-12.396124,130.855906,,,,
127,177,"30 Daly St",,-12.457283,130.836728,,,,
128,323,"Harney St. / Bagot",,-12.413459,130.852399,,,,
130,275,"Northlakes Shopping Centre",,-12.395304,130.895563,,,,
131,208,"Rothdale Rd before Seabright Cres",,-12.394448,130.878165,,,,
132,076,"Gilruth Ave at Casino",,-12.449391,130.831613,,,,
133,077,"Gilruth Ave at Mindil Beach",,-12.445951,130.833326,,,,
134,033,"125 Leanyer Dr",,-12.375441,130.900541,,,,
135,36,"184 Leanyer Dr",,-12.382078,130.902372,,,,
136,040,"Wulagi Shops",,-12.383873,130.894024,,,,
137,043,"Wagaman Shops",,-12.380315,130.886807,,,,
138,54,"Jingili Shops",,-12.389414,130.874956,,,,
139,56,"Moil Shops",,-12.391135,130.881739,,,,
140,59,"Anula Shops",,-12.392363,130.890910,,,,
141,066,"Parer Drive",,-12.383978,130.882278,,,,
142,301,"Philip St. Shops",,-12.423790,130.837443,,,,
143,305,"BP Ross Smith",,-12.425454,130.839605,,,,
144,310,"Parap Road (Inbound)",,-12.435259,130.843389,,,,
145,311,"Westralia Street Shops",,-12.445052,130.843242,,,,
146,351,"Charles Darwin University (Palmerston)",,-12.476026,130.979488,,,,
147,480,"Moulden Shops",,-12.510809,130.975356,,,,
148,473,"Kafcaloudes Cr",,-12.508211,130.975771,,,,
149,479,"Palmerston Christian School",,-12.491371,130.964860,,,,
150,438,"Woodroffe School",,-12.506537,130.981316,,,,
151,443,"14 Baldwin Dr",,-12.500732,130.976718,,,,
152,433,"Emery Ave Opp Sacred Heart Primary School",,-12.494674,130.978798,,,,
153,124,"Malak Shops",,-12.397174,130.904005,,,,
154,130,"Karama Shops",,-12.401704,130.915887,,,,
155,417,"Good Shepherd College Leanyer",,-12.373204,130.900075,,,,
156,410,"McMillians Rd after Henry Wrigley Dr",,-12.395560,130.877273,,,,
160,217,"Waters St.",,-12.385484,130.860779,,,,
161,452,"Chung Wah Tce before Oasis Shops",,-12.484375,130.987086,,,,
164,261,"Nightcliff Primary School",,-12.380482,130.850991,,,,
165,360,"Rosebery Shops",,-12.503079,130.993745,,,,
167,236,"Gilruth Ave at Gardens Oval",,-12.446134,130.833471,,,,
168,237,"Gilruth Ave opp Casino",,-12.449727,130.831682,,,,
169,790,"Essington School",,-12.383264,130.856513,,,,
170,912,"Noonamah",,-12.633365,131.074067,,,,
171,554,"Gulnare Rd",,-12.584018,131.071058,,,,
172,483,"Woodlake/Kooralbyn",,-12.469746,130.969997,,,,
173,484,"Durack School",,-12.476571,130.973647,,,,
174,254,"Abala Rd Bonson Gates",,-12.400558,130.885613,,,,
175,309,"Parap Shops",,-12.432232,130.843592,,,,
176,242,"opp Parap Shops",,-12.431302,130.843255,,,,
177,345,"opp Durack School",,-12.476533,130.973491,,,,
180,481,"Woodlake/Bangalow",,-12.474384,130.965639,,,,
181,349,"Woodlake Boulevard",,-12.474458,130.965739,,,,
182,182,"Stuart Hwy before Winnellie Shops",,-12.426929,130.862016,,,,
183,191,"Stuart Hwy at Aviation Museum",,-12.426072,130.897242,,,,
187,602,"Humpty Doo Park & Ride",,-12.576740,131.100526,,,,
192,850,"Acacia Road",,-12.561806,131.131822,,,,
195,161,"Alawa Crescent",,-12.382012,130.872261,,,,
196,115,"135 Trower Rd after Iris St",,-12.383406,130.871447,,,,
197,162,"Alawa Crescent",,-12.379856,130.873086,,,,
199,116,"Trower Rd before Styles St",,-12.382767,130.874971,,,,
200,164,"Scriven Street",,-12.377259,130.876602,,,,
204,068,"211 Trower Rd after Alawa Cres",,-12.379796,130.880928,,,,
205,564,"Anglesey Road",,-12.554081,131.111074,,,,
206,565,"Anglesey Road",,-12.544011,131.111044,,,,
207,566,"Anglesey Road",,-12.531421,131.107613,,,,
208,525,"Anglesey Road",,-12.529247,131.107116,,,,
209,995,"Anglesey Road",,-12.549318,131.111074,,,,
212,816,"Henry Wrigley Dr Airport Precinct",,-12.403508,130.878770,,,,
213,222,"Aralia Street",,-12.379156,130.849037,,,,
214,090,"Aralia Street",,-12.379499,130.848266,,,,
215,170,"RAAF Golf Course",,-12.411910,130.856279,,,,
216,110,"Bagot Rd (before 163)",,-12.412767,130.855971,,,,
217,171,"RAAF Base",,-12.420680,130.856305,,,,
218,109,"Bagot Rd at Mosec Park",,-12.420385,130.855986,,,,
220,534,"Bayview",,-12.435770,130.857464,,,,
221,811,"Bayview Shops",,-12.441529,130.858089,,,,
222,813,"Stoddart Drive",,-12.439323,130.852852,,,,
223,533,"Half Moon Park",,-12.440834,130.856429,,,,
224,596,"Stoddart Drive",,-12.439471,130.851807,,,,
225,193,"Stuart Hwy at Berrimah Business Park",,-12.429460,130.912981,,,,
226,511,"Bees Creek Road",,-12.583204,131.058915,,,,
227,509,"Bees Creek Road",,-12.562278,131.059092,,,,
228,508,"London Road",,-12.554241,131.038093,,,,
229,766,"London Road",,-12.550668,131.038217,,,,
230,767,"Francesca Circuit",,-12.546737,131.035234,,,,
231,768,"Jacomb Place",,-12.550645,131.031088,,,,
232,513,"Virginia Road",,-12.541793,131.029190,,,,
233,514,"Virginia Road",,-12.521873,131.029172,,,,
234,763,"Virginia Store",,-12.517909,131.029154,,,,
235,776,"Stuart / Virginia",,-12.515417,131.028644,,,,
236,506,"Stuart Hwy after Morgan Road",,-12.506384,131.018707,,,,
237,502,"Stuart Hwy after Bowhunters Rd",,-12.507258,131.019636,,,,
238,507,"Virginia Road",,-12.516015,131.029309,,,,
239,503,"Stuart Highway / Virginia Road",,-12.515274,131.029495,,,,
240,505,"Coolalinga Shopping Centre",,-12.521555,131.039268,,,,
241,542,"Virginia Road",,-12.522456,131.029330,,,,
242,543,"Virginia Road",,-12.529051,131.029367,,,,
243,544,"Virginia Road",,-12.533878,131.029439,,,,
244,545,"Virginia Road",,-12.541723,131.029338,,,,
245,546,"Jacomb Place",,-12.550427,131.031738,,,,
246,547,"Francesca Circuit",,-12.546609,131.035171,,,,
247,548,"London Road",,-12.554644,131.038402,,,,
248,549,"Lowther Road",,-12.554735,131.047210,,,,
249,577,"Bees Creek Road",,-12.578797,131.059114,,,,
250,553,"Bees Creek Road",,-12.583487,131.059086,,,,
255,1518,"Satler Crescent",,-12.540633,131.054330,,,,
256,764,"Bees Creek Primary School",,-12.541106,131.053742,,,,
257,832,"Bellamack Seniors Village",,-12.512650,130.980656,,,,
